GEOID,NAME,ttl_ppE,ttl_ppM,ttl_nrE,ttl_nrM,undrg_E,undrg_M,grd_ppE,grd_ppM,totalenrol,fpl_total2015,Percent_2015
24510280401,"Census Tract 2804.01, Baltimore city, Maryland",3592,313,923,170,211,94,26,32,237,13,5.485232068
24031702000,"Census Tract 7020, Montgomery County, Maryland",5398,602,1628,328,362,157,70,44,432,156,36.11111111
24031703901,"Census Tract 7039.01, Montgomery County, Maryland",3062,189,896,146,185,92,70,42,255,31,12.15686275
24510150600,"Census Tract 1506, Baltimore city, Maryland",2483,449,706,216,193,84,20,32,213,31,14.55399061
24031705800,"Census Tract 7058, Montgomery County, Maryland",6108,357,1785,254,167,102,73,55,240,17,7.083333333
24005408900,"Census Tract 4089, Baltimore County, Maryland",2770,214,642,132,90,47,49,32,139,0,0
24039930300,"Census Tract 9303, Somerset County, Maryland",2054,352,409,146,38,30,34,34,72,0,0
24510070300,"Census Tract 703, Baltimore city, Maryland",798,161,282,115,12,14,26,39,38,34,89.47368421
24510090500,"Census Tract 905, Baltimore city, Maryland",2026,321,433,103,62,40,41,31,103,39,37.86407767
24025306100,"Census Tract 3061, Harford County, Maryland",3770,254,767,176,175,115,16,24,191,78,40.83769634
24510200300,"Census Tract 2003, Baltimore city, Maryland",1648,248,521,131,43,46,0,12,43,11,25.58139535
24005408703,"Census Tract 4087.03, Baltimore County, Maryland",5934,339,1391,284,229,116,166,109,395,0,0
24005452000,"Census Tract 4520, Baltimore County, Maryland",2363,165,324,95,45,32,15,24,60,0,0
24031703210,"Census Tract 7032.10, Montgomery County, Maryland",3742,331,1155,136,277,115,76,46,353,11,3.116147309
