GEOID,NAME,ttl_ppE,ttl_ppM,ttl_nrE,ttl_nrM,undrg_E,undrg_M,grd_ppE,grd_ppM,totalenrol,totalenr_1,difference,Census Tract,County
"24031701422","Census Tract 7014.22, Montgomery County, Maryland",2707.000000000000000,272.000000000000000,1114.000000000000000,212.000000000000000,263.000000000000000,111.000000000000000,102.000000000000000,64.000000000000000,"365","403","-38",Census Tract 7014.22, Montgomery County
"24043000400","Census Tract 4, Washington County, Maryland",1755.000000000000000,249.000000000000000,299.000000000000000,76.000000000000000,81.000000000000000,44.000000000000000,0.000000000000000,12.000000000000000,"81","103","-22",Census Tract 4, Washington County
"24510020300","Census Tract 203, Baltimore city, Maryland",3655.000000000000000,396.000000000000000,377.000000000000000,140.000000000000000,81.000000000000000,55.000000000000000,188.000000000000000,92.000000000000000,"269","414","-145",Census Tract 203, Baltimore city
"24005491000","Census Tract 4910, Baltimore County, Maryland",2252.000000000000000,127.000000000000000,707.000000000000000,83.000000000000000,45.000000000000000,28.000000000000000,33.000000000000000,21.000000000000000,"78","53","25",Census Tract 4910, Baltimore County
"24510250402","Census Tract 2504.02, Baltimore city, Maryland",4484.000000000000000,451.000000000000000,1358.000000000000000,307.000000000000000,114.000000000000000,89.000000000000000,5.000000000000000,9.000000000000000,"119","348","-229",Census Tract 2504.02, Baltimore city
"24003750203","Census Tract 7502.03, Anne Arundel County, Maryland",1328.000000000000000,112.000000000000000,350.000000000000000,77.000000000000000,52.000000000000000,36.000000000000000,0.000000000000000,12.000000000000000,"52","92","-40",Census Tract 7502.03, Anne Arundel County
"24031701218","Census Tract 7012.18, Montgomery County, Maryland",3109.000000000000000,334.000000000000000,402.000000000000000,139.000000000000000,74.000000000000000,53.000000000000000,51.000000000000000,32.000000000000000,"125","184","-59",Census Tract 7012.18, Montgomery County
"24005404102","Census Tract 4041.02, Baltimore County, Maryland",5805.000000000000000,560.000000000000000,1055.000000000000000,276.000000000000000,89.000000000000000,78.000000000000000,53.000000000000000,64.000000000000000,"142","503","-361",Census Tract 4041.02, Baltimore County
"24005452500","Census Tract 4525, Baltimore County, Maryland",3850.000000000000000,304.000000000000000,1110.000000000000000,255.000000000000000,253.000000000000000,140.000000000000000,33.000000000000000,30.000000000000000,"286","178","108",Census Tract 4525, Baltimore County
"24510150600","Census Tract 1506, Baltimore city, Maryland",2685.000000000000000,482.000000000000000,761.000000000000000,358.000000000000000,242.000000000000000,171.000000000000000,39.000000000000000,40.000000000000000,"281","213","68",Census Tract 1506, Baltimore city
"24033806708","Census Tract 8067.08, Prince George's County, Maryland",4287.000000000000000,372.000000000000000,1044.000000000000000,238.000000000000000,113.000000000000000,80.000000000000000,187.000000000000000,103.000000000000000,"300","578","-278",Census Tract 8067.08, Prince George's County
"24031703302","Census Tract 7033.02, Montgomery County, Maryland",3980.000000000000000,377.000000000000000,1000.000000000000000,203.000000000000000,256.000000000000000,131.000000000000000,21.000000000000000,25.000000000000000,"277","290","-13",Census Tract 7033.02, Montgomery County
